-1,-2.4135
-0.9798,-2.3763
-0.9596,-2.2112
-0.93939,-2.2506
-0.91919,-2.2909
-0.89899,-1.9471
-0.87879,-2.0124
-0.85859,-2.0096
-0.83838,-1.347
-0.81818,-1.6013
-0.79798,-1.4234
-0.77778,-1.2254
-0.75758,-1.5155
-0.73737,-1.1431
-0.71717,-1.0383
-0.69697,-1.001
-0.67677,-0.89808
-0.65657,-0.89639
-0.63636,-0.63677
-0.61616,-0.75325
-0.59596,-0.6531
-0.57576,-0.35742
-0.55556,-0.1364
-0.53535,-0.31945
-0.51515,-0.24224
-0.49495,-0.027617
-0.47475,0.15387
-0.45455,0.23298
-0.43434,0.23306
-0.41414,0.20561
-0.39394,0.46698
-0.37374,0.46557
-0.35354,0.75252
-0.33333,0.47461
-0.31313,0.77398
-0.29293,1.0199
-0.27273,0.87528
-0.25253,0.951
-0.23232,1.0029
-0.21212,1.1831
-0.19192,1.2866
-0.17172,1.4245
-0.15152,1.3816
-0.13131,1.6033
-0.11111,1.6049
-0.090909,1.7292
-0.070707,1.7597
-0.050505,1.9267
-0.030303,2.5328
-0.010101,2.6042
0.010101,2.3962
0.030303,2.4413
0.050505,2.2592
0.070707,2.4446
0.090909,2.533
0.11111,2.7798
0.13131,2.8658
0.15152,2.909
0.17172,2.9422
0.19192,2.9572
0.21212,3.1743
0.23232,3.4183
0.25253,3.4165
0.27273,3.4767
0.29293,3.6332
0.31313,3.7164
0.33333,3.5164
0.35354,3.8272
0.37374,3.8609
0.39394,3.7398
0.41414,3.9268
0.43434,4.1541
0.45455,4.3997
0.47475,4.3522
0.49495,4.5107
0.51515,4.4492
0.53535,4.3745
0.55556,4.7673
0.57576,4.7211
0.59596,5.097
0.61616,5.2649
0.63636,5.0774
0.65657,5.3787
0.67677,5.4399
0.69697,5.2175
0.71717,5.4945
0.73737,5.6267
0.75758,5.7546
0.77778,5.8681
0.79798,5.9608
0.81818,6.0543
0.83838,6.0154
0.85859,6.2005
0.87879,5.943
0.89899,6.1805
0.91919,6.5891
0.93939,6.4341
0.9596,6.6587
0.9798,6.909
1,6.6827
