-1,1.841
-0.9798,2.4133
-0.9596,2.9105
-0.93939,3.322
-0.91919,3.6393
-0.89899,3.8556
-0.87879,3.9668
-0.85859,3.9707
-0.83838,3.8678
-0.81818,3.6608
-0.79798,3.3546
-0.77778,2.9565
-0.75758,2.4758
-0.73737,1.9236
-0.71717,1.3124
-0.69697,0.65641
-0.67677,-0.029578
-0.65657,-0.72989
-0.63636,-1.4286
-0.61616,-2.1097
-0.59596,-2.7578
-0.57576,-3.3581
-0.55556,-3.8968
-0.53535,-4.3616
-0.51515,-4.7417
-0.49495,-5.0282
-0.47475,-5.2145
-0.45455,-5.2959
-0.43434,-5.2701
-0.41414,-5.1373
-0.39394,-4.9001
-0.37374,-4.5631
-0.35354,-4.1334
-0.33333,-3.62
-0.31313,-3.034
-0.29293,-2.3877
-0.27273,-1.6951
-0.25253,-0.97099
-0.23232,-0.23099
-0.21212,0.50898
-0.19192,1.233
-0.17172,1.9255
-0.15152,2.5715
-0.13131,3.1574
-0.11111,3.6704
-0.090909,4.0998
-0.070707,4.4364
-0.050505,4.6733
-0.030303,4.8057
-0.010101,4.831
0.010101,4.7493
0.030303,4.5626
0.050505,4.2757
0.070707,3.8953
0.090909,3.4302
0.11111,2.8913
0.13131,2.2908
0.15152,1.6425
0.17172,0.96129
0.19192,0.26257
0.21212,-0.43772
0.23232,-1.1236
0.25253,-1.7795
0.27273,-2.3905
0.29293,-2.9425
0.31313,-3.4229
0.33333,-3.8206
0.35354,-4.1264
0.37374,-4.3331
0.39394,-4.4356
0.41414,-4.4313
0.43434,-4.3197
0.45455,-4.103
0.47475,-3.7854
0.49495,-3.3735
0.51515,-2.876
0.53535,-2.3035
0.55556,-1.6682
0.57576,-0.9836
0.59596,-0.26455
0.61616,0.47354
0.63636,1.2148
0.65657,1.9432
0.67677,2.6432
0.69697,3.2997
0.71717,3.8986
0.73737,4.427
0.75758,4.8739
0.77778,5.2296
0.79798,5.4868
0.81818,5.6403
0.83838,5.6871
0.85859,5.6265
0.87879,5.4605
0.89899,5.1931
0.91919,4.8307
0.93939,4.3817
0.9596,3.8565
0.9798,3.2672
1,2.6274
